id,kuntanro,kuntanimi,asuntolkm,talotyyppi,rahmuoto,rahmuoto2,valmvuosi
1308,92,Vantaa,1,AP,VR,VO,2020
1882,753,Sipoo,6,AK,ARA,PK,2020
734,91,Helsinki,49,AK,VR,VV,2020
1420,106,Hyvinkaa,9,AP,VR,VO,2020
706,91,Helsinki,62,AK,VR,VV,2020
1608,245,Kerava,1,AP,VR,VO,2020
708,91,Helsinki,12,AP,VR,VO,2020
163,49,Espoo,2,AP,VR,VO,2020
1726,505,Mantsala,2,AP,VR,VO,2020
826,91,Helsinki,1,AP,VR,VO,2020
151,49,Espoo,1,AP,VR,VO,2020
1808,543,Nurmijarvi,2,AP,VR,VO,2020
1648,257,Kirkkonummi,28,AK,VR,VV,2020
313,49,Espoo,1,AP,VR,VO,2020
817,91,Helsinki,1,AP,VR,VO,2020
187,49,Espoo,2,AP,VR,VO,2020
57,49,Espoo,45,AP,VR,VO,2020
286,49,Espoo,1,AP,VR,VO,2020
1600,245,Kerava,1,AP,VR,VO,2020
1792,543,Nurmijarvi,1,AP,VR,VO,2020
2084,858,Tuusula,1,AP,VR,VO,2020
784,91,Helsinki,14,AK,VR,VO,2020
33,49,Espoo,35,AK,VR,VV,2020
1651,257,Kirkkonummi,1,AP,VR,VO,2020
964,91,Helsinki,1,AK,VR,VO,2020
1284,92,Vantaa,1,AP,VR,VO,2020
1007,91,Helsinki,1,AK,VR,VO,2020
413,49,Espoo,1,AP,VR,VO,2020
1817,543,Nurmijarvi,2,AP,VR,VO,2020
909,91,Helsinki,1,AP,VR,VO,2020
935,91,Helsinki,2,AP,VR,VO,2020
2102,927,Vihti,1,AP,VR,VO,2020
2047,858,Tuusula,1,AP,VR,VO,2020
858,91,Helsinki,1,AP,VR,VO,2020
1690,257,Kirkkonummi,5,AP,VR,VO,2020
575,91,Helsinki,15,AK,ARA,PK,2020
648,91,Helsinki,1,AP,VR,VO,2020
1886,753,Sipoo,2,AP,VR,VO,2020
1123,92,Vantaa,1,AP,VR,VO,2020
2017,858,Tuusula,1,AP,VR,VO,2020
1321,92,Vantaa,2,AP,VR,VO,2020
712,91,Helsinki,81,AK,VR,VO,2020
1574,186,Jarvenpaa,49,AK,VR,VO,2020
1616,245,Kerava,1,AP,VR,VO,2020
561,91,Helsinki,17,AK,VR,VO,2020
893,91,Helsinki,1,AP,VR,VO,2020
241,49,Espoo,1,AP,VR,VO,2020
320,49,Espoo,1,AP,VR,VO,2020
249,49,Espoo,1,AP,VR,VO,2020
2063,858,Tuusula,7,AK,VR,VO,2020
1754,543,Nurmijarvi,1,AP,VR,VO,2020
2048,858,Tuusula,1,AP,VR,VO,2020
1696,257,Kirkkonummi,12,AK,VR,VO,2020
649,91,Helsinki,1,AP,VR,VO,2020
484,49,Espoo,1,AP,VR,VO,2020
1441,106,Hyvinkaa,1,AP,VR,VO,2020
1108,92,Vantaa,2,AP,VR,VO,2020
1227,92,Vantaa,27,AK,VR,VO,2020
1136,92,Vantaa,2,AP,VR,VO,2020
308,49,Espoo,1,AP,VR,VO,2020
1850,543,Nurmijarvi,1,AP,VR,VO,2020
759,91,Helsinki,5,AP,VR,VO,2020
982,91,Helsinki,4,AK,VR,VO,2020
918,91,Helsinki,2,AP,VR,VO,2020
483,49,Espoo,1,AP,VR,VO,2020
838,91,Helsinki,1,AP,VR,VO,2020
2039,858,Tuusula,1,AP,VR,VO,2020
799,91,Helsinki,1,AP,VR,VO,2020
268,49,Espoo,2,AP,VR,VO,2020
318,49,Espoo,1,AP,VR,VO,2020
1624,257,Kirkkonummi,1,AP,VR,VO,2020
1139,92,Vantaa,2,AP,VR,VO,2020
1525,186,Jarvenpaa,1,AP,VR,VO,2020
640,91,Helsinki,79,AK,VR,VV,2020
285,49,Espoo,1,AP,VR,VO,2020
1258,92,Vantaa,1,AP,VR,VO,2020
1096,92,Vantaa,76,AK,VR,VV,2020
756,91,Helsinki,7,AP,VR,VO,2020
2004,858,Tuusula,1,AP,VR,VO,2020
1301,92,Vantaa,1,AP,VR,VO,2020
401,49,Espoo,2,AP,VR,VO,2020
981,91,Helsinki,1,AK,VR,VO,2020
497,49,Espoo,1,AP,VR,VO,2020
992,91,Helsinki,1,AK,VR,VO,2020
1671,257,Kirkkonummi,1,AP,VR,VO,2020
1040,92,Vantaa,1,AP,VR,VO,2020
1794,543,Nurmijarvi,1,AP,VR,VO,2020
652,91,Helsinki,105,AK,ARA,PK,2020
1340,92,Vantaa,2,AP,VR,VO,2020
1907,753,Sipoo,1,AP,VR,VO,2020
1104,92,Vantaa,3,AP,VR,VO,2020
1546,186,Jarvenpaa,1,AP,VR,VO,2020
2061,858,Tuusula,7,AP,VR,VO,2020
1351,92,Vantaa,2,AP,VR,VO,2020
642,91,Helsinki,39,AK,ARA,PK,2020
570,91,Helsinki,11,AP,VR,VO,2020
1390,235,Kauniainen,4,AK,VR,VO,2020
2019,858,Tuusula,1,AP,VR,VO,2020
1380,235,Kauniainen,1,AP,VR,VO,2020
1840,543,Nurmijarvi,37,AK,ARA,PK,2020
1231,92,Vantaa,1,AP,VR,VO,2020
1332,92,Vantaa,38,AK,ARA,LK,2020
860,91,Helsinki,1,AP,VR,VO,2020
1833,543,Nurmijarvi,3,AP,VR,VO,2020
2103,927,Vihti,1,AP,VR,VO,2020
216,49,Espoo,1,AP,VR,VO,2020
1092,92,Vantaa,1,AP,VR,VO,2020
1346,92,Vantaa,2,AP,VR,VO,2020
212,49,Espoo,1,AP,VR,VO,2020
1580,245,Kerava,1,AP,VR,VO,2020
835,91,Helsinki,1,AP,VR,VO,2020
114,49,Espoo,1,AP,VR,VO,2020
440,49,Espoo,1,AP,VR,VO,2020
775,91,Helsinki,72,AK,VR,VO,2020
246,49,Espoo,1,AP,VR,VO,2020
1773,543,Nurmijarvi,1,AP,VR,VO,2020
876,91,Helsinki,1,AP,VR,VO,2020
1825,543,Nurmijarvi,9,AP,VR,VO,2020
172,49,Espoo,2,AP,VR,VO,2020
222,49,Espoo,1,AP,VR,VO,2020
1763,543,Nurmijarvi,1,AP,VR,VO,2020
1896,753,Sipoo,1,AP,VR,VO,2020
1507,186,Jarvenpaa,1,AP,VR,VO,2020
2136,927,Vihti,1,AP,VR,VO,2020
